strategy	status	edge	duration_s	log_file
pgate_v1.sol	0	508.25	104	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/1_pgate_v1.log
pgate_v2.sol	0	508.25	104	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/2_pgate_v2.log
pgate_v3.sol	0	508.25	104	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/3_pgate_v3.log
pgate_v4.sol	0	508.25	104	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/4_pgate_v4.log
pgate_v5.sol	0	508.25	108	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/5_pgate_v5.log
pgate_v6.sol	0	508.23	108	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/6_pgate_v6.log
pgate_v7.sol	0	508.23	108	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/7_pgate_v7.log
pgate_v8.sol	0	508.24	108	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/8_pgate_v8.log
pgate_v9.sol	0	508.24	54	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/9_pgate_v9.log
pgate_v10.sol	0	508.21	54	.ralph-amm/phase7/state/parallel_sims/20260211_014211_72279/10_pgate_v10.log
