strategy	status	edge	duration_s	log_file
aus_u3_v1.sol	0	508.25	98	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/1_aus_u3_v1.log
aus_u3_v2.sol	0	508.15	97	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/2_aus_u3_v2.log
aus_u3_v3.sol	0	508.10	98	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/3_aus_u3_v3.log
aus_u3_v4.sol	0	508.16	98	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/4_aus_u3_v4.log
aus_u3_v5.sol	0	508.13	106	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/5_aus_u3_v5.log
aus_u3_v6.sol	0	508.09	106	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/6_aus_u3_v6.log
aus_u3_v7.sol	0	508.10	105	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/7_aus_u3_v7.log
aus_u3_v8.sol	0	507.59	105	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/8_aus_u3_v8.log
aus_u3_v9.sol	0	508.09	54	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/9_aus_u3_v9.log
aus_u3_v10.sol	0	507.55	53	.ralph-amm/phase7/state/parallel_sims/20260211_011835_38016/10_aus_u3_v10.log
