strategy	status	edge	duration_s	log_file
canary_mode3_v1.sol	0	519.91	16	.ralph-amm/phase7/state/parallel_sims/20260211_011136_29031/1_canary_mode3_v1.log
canary_mode3_v2.sol	0	519.42	16	.ralph-amm/phase7/state/parallel_sims/20260211_011136_29031/2_canary_mode3_v2.log
canary_mode3_v3.sol	0	519.51	16	.ralph-amm/phase7/state/parallel_sims/20260211_011136_29031/3_canary_mode3_v3.log
canary_mode3_v4.sol	0	519.80	16	.ralph-amm/phase7/state/parallel_sims/20260211_011136_29031/4_canary_mode3_v4.log
canary_mode3_v5.sol	42	NA	0	.ralph-amm/phase7/state/parallel_sims/20260211_011136_29031/5_canary_mode3_v5.log
