strategy	status	edge	duration_s	log_file
canary_mode3_v1.sol	0	519.91	10	.ralph-amm/phase7/state/parallel_sims/20260211_011200_29830/1_canary_mode3_v1.log
canary_mode3_v2.sol	0	519.42	10	.ralph-amm/phase7/state/parallel_sims/20260211_011200_29830/2_canary_mode3_v2.log
canary_mode3_v3.sol	0	519.51	10	.ralph-amm/phase7/state/parallel_sims/20260211_011200_29830/3_canary_mode3_v3.log
canary_mode3_v4.sol	0	519.80	10	.ralph-amm/phase7/state/parallel_sims/20260211_011200_29830/4_canary_mode3_v4.log
canary_mode3_v5.sol	0	519.71	5	.ralph-amm/phase7/state/parallel_sims/20260211_011200_29830/5_canary_mode3_v5.log
